0,1,2,3
conda-forge,numpy,1.11.3,win-64
conda-forge,numpy,1.11.3,win-64
conda-forge,numpy,1.11.3,win-64
conda-forge,numpy,1.14.0,win-64
conda-forge,numpy,1.14.0,win-64
conda-forge,numpy,1.14.1,win-64
conda-forge,numpy,1.14.1,win-64
conda-forge,numpy,1.14.2,win-64
conda-forge,numpy,1.14.2,win-64
conda-forge,numpy,1.14.3,win-64
conda-forge,numpy,1.14.3,win-64
conda-forge,numpy,1.14.4,win-64
conda-forge,numpy,1.14.4,win-64
conda-forge,numpy,1.14.5,win-64
conda-forge,numpy,1.14.5,win-64
conda-forge,numpy,1.14.5,win-64
conda-forge,numpy,1.14.5,win-64
conda-forge,numpy,1.14.5,win-64
conda-forge,numpy,1.14.5,win-64
conda-forge,numpy,1.14.5,win-64
conda-forge,numpy,1.14.5,win-64
conda-forge,numpy,1.14.5,win-64
conda-forge,numpy,1.14.6,win-64
conda-forge,numpy,1.14.6,win-64
conda-forge,numpy,1.14.6,win-64
conda-forge,numpy,1.14.6,win-64
conda-forge,numpy,1.14.6,win-64
conda-forge,numpy,1.14.6,win-64
conda-forge,numpy,1.14.6,win-64
conda-forge,numpy,1.14.6,win-64
conda-forge,numpy,1.14.6,win-64
conda-forge,numpy,1.14.6,win-64
conda-forge,numpy,1.14.6,win-64
conda-forge,numpy,1.14.6,win-64
conda-forge,numpy,1.14.6,win-64
conda-forge,numpy,1.14.6,win-64
conda-forge,numpy,1.15.0,win-64
conda-forge,numpy,1.15.0,win-64
conda-forge,numpy,1.15.0,win-64
conda-forge,numpy,1.15.1,win-64
conda-forge,numpy,1.15.1,win-64
conda-forge,numpy,1.15.1,win-64
conda-forge,numpy,1.15.1,win-64
conda-forge,numpy,1.15.1,win-64
conda-forge,numpy,1.15.2,win-64
conda-forge,numpy,1.15.2,win-64
conda-forge,numpy,1.15.2,win-64
conda-forge,numpy,1.15.2,win-64
conda-forge,numpy,1.15.2,win-64
conda-forge,numpy,1.15.2,win-64
conda-forge,numpy,1.15.2,win-64
conda-forge,numpy,1.15.2,win-64
conda-forge,numpy,1.15.3,win-64
conda-forge,numpy,1.15.3,win-64
conda-forge,numpy,1.15.4,win-64
conda-forge,numpy,1.15.4,win-64
conda-forge,numpy,1.15.4,win-64
conda-forge,numpy,1.15.4,win-64
conda-forge,numpy,1.15.4,win-64
conda-forge,numpy,1.16.0,win-64
conda-forge,numpy,1.16.0,win-64
conda-forge,numpy,1.16.1,win-64
conda-forge,numpy,1.16.1,win-64
conda-forge,numpy,1.16.2,win-64
conda-forge,numpy,1.16.2,win-64
conda-forge,numpy,1.16.2,win-64
conda-forge,numpy,1.16.2,win-64
conda-forge,numpy,1.16.2,win-64
conda-forge,numpy,1.16.3,win-64
conda-forge,numpy,1.16.3,win-64
conda-forge,numpy,1.16.3,win-64
conda-forge,numpy,1.16.4,win-64
conda-forge,numpy,1.16.4,win-64
conda-forge,numpy,1.16.4,win-64
conda-forge,numpy,1.16.5,win-64
conda-forge,numpy,1.16.5,win-64
conda-forge,numpy,1.16.5,win-64
conda-forge,numpy,1.16.5,win-64
conda-forge,numpy,1.16.5,win-64
conda-forge,numpy,1.16.5,win-64
conda-forge,numpy,1.16.5,win-64
conda-forge,numpy,1.16.6,win-64
conda-forge,numpy,1.16.6,win-64
conda-forge,numpy,1.16.6,win-64
conda-forge,numpy,1.17.0,win-64
conda-forge,numpy,1.17.0,win-64
conda-forge,numpy,1.17.1,win-64
conda-forge,numpy,1.17.2,win-64
conda-forge,numpy,1.17.3,win-64
conda-forge,numpy,1.17.3,win-64
conda-forge,numpy,1.17.3,win-64
conda-forge,numpy,1.17.5,win-64
conda-forge,numpy,1.17.5,win-64
conda-forge,numpy,1.17.5,win-64
conda-forge,numpy,1.17.5,win-64
conda-forge,numpy,1.17.5,win-64
conda-forge,numpy,1.17.5,win-64
conda-forge,numpy,1.18.1,win-64
conda-forge,numpy,1.18.1,win-64
conda-forge,numpy,1.18.1,win-64
conda-forge,numpy,1.18.1,win-64
conda-forge,numpy,1.18.1,win-64
conda-forge,numpy,1.18.1,win-64
conda-forge,numpy,1.18.4,win-64
conda-forge,numpy,1.18.4,win-64
conda-forge,numpy,1.18.4,win-64
conda-forge,numpy,1.18.5,win-64
conda-forge,numpy,1.18.5,win-64
conda-forge,numpy,1.18.5,win-64
conda-forge,numpy,1.19.0,win-64
conda-forge,numpy,1.19.0,win-64
conda-forge,numpy,1.19.0,win-64
conda-forge,numpy,1.19.1,win-64
conda-forge,numpy,1.19.1,win-64
conda-forge,numpy,1.19.1,win-64
conda-forge,numpy,1.19.1,win-64
conda-forge,numpy,1.19.1,win-64
conda-forge,numpy,1.19.1,win-64
conda-forge,numpy,1.19.1,win-64
conda-forge,numpy,1.19.2,win-64
conda-forge,numpy,1.19.2,win-64
conda-forge,numpy,1.19.2,win-64
conda-forge,numpy,1.19.2,win-64
conda-forge,numpy,1.19.2,win-64
conda-forge,numpy,1.19.2,win-64
conda-forge,numpy,1.19.2,win-64
conda-forge,numpy,1.19.2,win-64
conda-forge,numpy,1.19.4,win-64
conda-forge,numpy,1.19.4,win-64
conda-forge,numpy,1.19.4,win-64
conda-forge,numpy,1.19.4,win-64
conda-forge,numpy,1.19.4,win-64
conda-forge,numpy,1.19.4,win-64
conda-forge,numpy,1.19.4,win-64
conda-forge,numpy,1.19.4,win-64
conda-forge,numpy,1.19.5,win-64
conda-forge,numpy,1.19.5,win-64
conda-forge,numpy,1.19.5,win-64
conda-forge,numpy,1.19.5,win-64
conda-forge,numpy,1.19.5,win-64
conda-forge,numpy,1.19.5,win-64
conda-forge,numpy,1.19.5,win-64
conda-forge,numpy,1.19.5,win-64
conda-forge,numpy,1.19.5,win-64
conda-forge,numpy,1.19.5,win-64
conda-forge,numpy,1.19.5,win-64
conda-forge,numpy,1.19.5,win-64
conda-forge,numpy,1.19.5,win-64
conda-forge,numpy,1.20.0,win-64
conda-forge,numpy,1.20.0,win-64
conda-forge,numpy,1.20.0,win-64
conda-forge,numpy,1.20.1,win-64
conda-forge,numpy,1.20.1,win-64
conda-forge,numpy,1.20.1,win-64
conda-forge,numpy,1.20.2,win-64
conda-forge,numpy,1.20.2,win-64
conda-forge,numpy,1.20.2,win-64
conda-forge,numpy,1.20.3,win-64
conda-forge,numpy,1.20.3,win-64
conda-forge,numpy,1.20.3,win-64
conda-forge,numpy,1.20.3,win-64
conda-forge,numpy,1.20.3,win-64
conda-forge,numpy,1.21.0,win-64
conda-forge,numpy,1.21.0,win-64
conda-forge,numpy,1.21.0,win-64
conda-forge,numpy,1.21.0,win-64
conda-forge,numpy,1.21.1,win-64
conda-forge,numpy,1.21.1,win-64
conda-forge,numpy,1.21.1,win-64
conda-forge,numpy,1.21.1,win-64
conda-forge,numpy,1.21.2,win-64
conda-forge,numpy,1.21.2,win-64
conda-forge,numpy,1.21.2,win-64
conda-forge,numpy,1.21.2,win-64
conda-forge,numpy,1.21.3,win-64
conda-forge,numpy,1.21.3,win-64
conda-forge,numpy,1.21.3,win-64
conda-forge,numpy,1.21.3,win-64
conda-forge,numpy,1.21.3,win-64
conda-forge,numpy,1.21.3,win-64
conda-forge,numpy,1.21.3,win-64
conda-forge,numpy,1.21.3,win-64
conda-forge,numpy,1.21.3,win-64
conda-forge,numpy,1.21.4,win-64
conda-forge,numpy,1.21.4,win-64
conda-forge,numpy,1.21.4,win-64
conda-forge,numpy,1.21.4,win-64
conda-forge,numpy,1.21.4,win-64
conda-forge,numpy,1.21.5,win-64
conda-forge,numpy,1.21.5,win-64
conda-forge,numpy,1.21.5,win-64
conda-forge,numpy,1.21.5,win-64
conda-forge,numpy,1.21.5,win-64
conda-forge,numpy,1.22.0,win-64
conda-forge,numpy,1.22.0,win-64
conda-forge,numpy,1.22.0,win-64
conda-forge,numpy,1.22.0,win-64
conda-forge,numpy,1.22.0,win-64
conda-forge,numpy,1.22.0,win-64
conda-forge,numpy,1.22.1,win-64
conda-forge,numpy,1.22.1,win-64
conda-forge,numpy,1.22.1,win-64
conda-forge,numpy,1.22.2,win-64
conda-forge,numpy,1.22.2,win-64
conda-forge,numpy,1.22.2,win-64
conda-forge,numpy,1.10.4,linux-64
conda-forge,numpy,1.10.4,linux-64
conda-forge,numpy,1.10.4,linux-64
conda-forge,numpy,1.10.4,linux-64
conda-forge,numpy,1.10.4,linux-64
conda-forge,numpy,1.10.4,linux-64
conda-forge,numpy,1.10.4,linux-64
conda-forge,numpy,1.10.4,linux-64
conda-forge,numpy,1.10.4,linux-64
conda-forge,numpy,1.10.4,linux-64
conda-forge,numpy,1.10.4,linux-64
conda-forge,numpy,1.10.4,linux-64
conda-forge,numpy,1.10.4,linux-64
conda-forge,numpy,1.10.4,linux-64
conda-forge,numpy,1.10.4,linux-64
conda-forge,numpy,1.10.4,linux-64
conda-forge,numpy,1.10.4,linux-64
conda-forge,numpy,1.10.4,linux-64
conda-forge,numpy,1.10.4,linux-64
conda-forge,numpy,1.11.0,linux-64
conda-forge,numpy,1.11.0,linux-64
conda-forge,numpy,1.11.0,linux-64
conda-forge,numpy,1.11.0,linux-64
conda-forge,numpy,1.11.0,linux-64
conda-forge,numpy,1.11.0,linux-64
conda-forge,numpy,1.11.1,linux-64
conda-forge,numpy,1.11.1,linux-64
conda-forge,numpy,1.11.1,linux-64
conda-forge,numpy,1.11.1,linux-64
conda-forge,numpy,1.11.1,linux-64
conda-forge,numpy,1.11.1,linux-64
conda-forge,numpy,1.11.1,linux-64
conda-forge,numpy,1.11.1,linux-64
conda-forge,numpy,1.11.1,linux-64
conda-forge,numpy,1.11.2,linux-64
conda-forge,numpy,1.11.2,linux-64
conda-forge,numpy,1.11.2,linux-64
conda-forge,numpy,1.11.2,linux-64
conda-forge,numpy,1.11.2,linux-64
conda-forge,numpy,1.11.2,linux-64
conda-forge,numpy,1.11.2,linux-64
conda-forge,numpy,1.11.2,linux-64
conda-forge,numpy,1.11.2,linux-64
conda-forge,numpy,1.11.3,linux-64
conda-forge,numpy,1.11.3,linux-64
conda-forge,numpy,1.11.3,linux-64
conda-forge,numpy,1.11.3,linux-64
conda-forge,numpy,1.11.3,linux-64
conda-forge,numpy,1.11.3,linux-64
conda-forge,numpy,1.11.3,linux-64
conda-forge,numpy,1.11.3,linux-64
conda-forge,numpy,1.11.3,linux-64
conda-forge,numpy,1.11.3,linux-64
conda-forge,numpy,1.11.3,linux-64
conda-forge,numpy,1.11.3,linux-64
conda-forge,numpy,1.11.3,linux-64
conda-forge,numpy,1.11.3,linux-64
conda-forge,numpy,1.11.3,linux-64
conda-forge,numpy,1.11.3,linux-64
conda-forge,numpy,1.11.3,linux-64
conda-forge,numpy,1.11.3,linux-64
conda-forge,numpy,1.11.3,linux-64
conda-forge,numpy,1.11.3,linux-64
conda-forge,numpy,1.11.3,linux-64
conda-forge,numpy,1.11.3,linux-64
conda-forge,numpy,1.11.3,linux-64
conda-forge,numpy,1.11.3,linux-64
conda-forge,numpy,1.11.3,linux-64
conda-forge,numpy,1.11.3,linux-64
conda-forge,numpy,1.11.3,linux-64
conda-forge,numpy,1.11.3,linux-64
conda-forge,numpy,1.11.3,linux-64
conda-forge,numpy,1.11.3,linux-64
conda-forge,numpy,1.11.3,linux-64
conda-forge,numpy,1.11.3,linux-64
conda-forge,numpy,1.12.0,linux-64
conda-forge,numpy,1.12.0,linux-64
conda-forge,numpy,1.12.0,linux-64
conda-forge,numpy,1.12.0,linux-64
conda-forge,numpy,1.12.1,linux-64
conda-forge,numpy,1.12.1,linux-64
conda-forge,numpy,1.12.1,linux-64
conda-forge,numpy,1.12.1,linux-64
conda-forge,numpy,1.12.1,linux-64
conda-forge,numpy,1.12.1,linux-64
conda-forge,numpy,1.12.1,linux-64
conda-forge,numpy,1.12.1,linux-64
conda-forge,numpy,1.12.1,linux-64
conda-forge,numpy,1.12.1,linux-64
conda-forge,numpy,1.12.1,linux-64
conda-forge,numpy,1.12.1,linux-64
conda-forge,numpy,1.12.1,linux-64
conda-forge,numpy,1.12.1,linux-64
conda-forge,numpy,1.13.0,linux-64
conda-forge,numpy,1.13.0,linux-64
conda-forge,numpy,1.13.0,linux-64
conda-forge,numpy,1.13.0,linux-64
conda-forge,numpy,1.13.1,linux-64
conda-forge,numpy,1.13.1,linux-64
conda-forge,numpy,1.13.1,linux-64
conda-forge,numpy,1.13.1,linux-64
conda-forge,numpy,1.13.1,linux-64
conda-forge,numpy,1.13.1,linux-64
conda-forge,numpy,1.13.1,linux-64
conda-forge,numpy,1.13.1,linux-64
conda-forge,numpy,1.13.2,linux-64
conda-forge,numpy,1.13.2,linux-64
conda-forge,numpy,1.13.2,linux-64
conda-forge,numpy,1.13.3,linux-64
conda-forge,numpy,1.13.3,linux-64
conda-forge,numpy,1.13.3,linux-64
conda-forge,numpy,1.13.3,linux-64
conda-forge,numpy,1.13.3,linux-64
conda-forge,numpy,1.13.3,linux-64
conda-forge,numpy,1.13.3,linux-64
conda-forge,numpy,1.13.3,linux-64
conda-forge,numpy,1.13.3,linux-64
conda-forge,numpy,1.13.3,linux-64
conda-forge,numpy,1.13.3,linux-64
conda-forge,numpy,1.13.3,linux-64
conda-forge,numpy,1.13.3,linux-64
conda-forge,numpy,1.13.3,linux-64
conda-forge,numpy,1.14.0,linux-64
conda-forge,numpy,1.14.0,linux-64
conda-forge,numpy,1.14.0,linux-64
conda-forge,numpy,1.14.0,linux-64
conda-forge,numpy,1.14.1,linux-64
conda-forge,numpy,1.14.1,linux-64
conda-forge,numpy,1.14.1,linux-64
conda-forge,numpy,1.14.2,linux-64
conda-forge,numpy,1.14.2,linux-64
conda-forge,numpy,1.14.2,linux-64
conda-forge,numpy,1.14.3,linux-64
conda-forge,numpy,1.14.3,linux-64
conda-forge,numpy,1.14.3,linux-64
conda-forge,numpy,1.14.4,linux-64
conda-forge,numpy,1.14.4,linux-64
conda-forge,numpy,1.14.4,linux-64
conda-forge,numpy,1.14.5,linux-64
conda-forge,numpy,1.14.5,linux-64
conda-forge,numpy,1.14.5,linux-64
conda-forge,numpy,1.14.5,linux-64
conda-forge,numpy,1.14.5,linux-64
conda-forge,numpy,1.14.5,linux-64
conda-forge,numpy,1.14.5,linux-64
conda-forge,numpy,1.14.5,linux-64
conda-forge,numpy,1.14.5,linux-64
conda-forge,numpy,1.14.5,linux-64
conda-forge,numpy,1.14.5,linux-64
conda-forge,numpy,1.14.5,linux-64
conda-forge,numpy,1.14.5,linux-64
conda-forge,numpy,1.14.6,linux-64
conda-forge,numpy,1.14.6,linux-64
conda-forge,numpy,1.14.6,linux-64
conda-forge,numpy,1.14.6,linux-64
conda-forge,numpy,1.14.6,linux-64
conda-forge,numpy,1.14.6,linux-64
conda-forge,numpy,1.14.6,linux-64
conda-forge,numpy,1.14.6,linux-64
conda-forge,numpy,1.14.6,linux-64
conda-forge,numpy,1.14.6,linux-64
conda-forge,numpy,1.14.6,linux-64
conda-forge,numpy,1.14.6,linux-64
conda-forge,numpy,1.14.6,linux-64
conda-forge,numpy,1.14.6,linux-64
conda-forge,numpy,1.14.6,linux-64
conda-forge,numpy,1.14.6,linux-64
conda-forge,numpy,1.14.6,linux-64
conda-forge,numpy,1.14.6,linux-64
conda-forge,numpy,1.14.6,linux-64
conda-forge,numpy,1.14.6,linux-64
conda-forge,numpy,1.14.6,linux-64
conda-forge,numpy,1.14.6,linux-64
conda-forge,numpy,1.14.6,linux-64
conda-forge,numpy,1.15.0,linux-64
conda-forge,numpy,1.15.0,linux-64
conda-forge,numpy,1.15.0,linux-64
conda-forge,numpy,1.15.0,linux-64
conda-forge,numpy,1.15.1,linux-64
conda-forge,numpy,1.15.1,linux-64
conda-forge,numpy,1.15.1,linux-64
conda-forge,numpy,1.15.1,linux-64
conda-forge,numpy,1.15.1,linux-64
conda-forge,numpy,1.15.1,linux-64
conda-forge,numpy,1.15.1,linux-64
conda-forge,numpy,1.15.2,linux-64
conda-forge,numpy,1.15.2,linux-64
conda-forge,numpy,1.15.2,linux-64
conda-forge,numpy,1.15.2,linux-64
conda-forge,numpy,1.15.2,linux-64
conda-forge,numpy,1.15.2,linux-64
conda-forge,numpy,1.15.2,linux-64
conda-forge,numpy,1.15.2,linux-64
conda-forge,numpy,1.15.2,linux-64
conda-forge,numpy,1.15.2,linux-64
conda-forge,numpy,1.15.2,linux-64
conda-forge,numpy,1.15.2,linux-64
conda-forge,numpy,1.15.2,linux-64
conda-forge,numpy,1.15.2,linux-64
conda-forge,numpy,1.15.2,linux-64
conda-forge,numpy,1.15.2,linux-64
conda-forge,numpy,1.15.2,linux-64
conda-forge,numpy,1.15.2,linux-64
conda-forge,numpy,1.15.3,linux-64
conda-forge,numpy,1.15.3,linux-64
conda-forge,numpy,1.15.3,linux-64
conda-forge,numpy,1.15.3,linux-64
conda-forge,numpy,1.15.3,linux-64
conda-forge,numpy,1.15.3,linux-64
conda-forge,numpy,1.15.4,linux-64
conda-forge,numpy,1.15.4,linux-64
conda-forge,numpy,1.15.4,linux-64
conda-forge,numpy,1.15.4,linux-64
conda-forge,numpy,1.15.4,linux-64
conda-forge,numpy,1.15.4,linux-64
conda-forge,numpy,1.15.4,linux-64
conda-forge,numpy,1.15.4,linux-64
conda-forge,numpy,1.15.4,linux-64
conda-forge,numpy,1.15.4,linux-64
conda-forge,numpy,1.15.4,linux-64
conda-forge,numpy,1.15.4,linux-64
conda-forge,numpy,1.16.0,linux-64
conda-forge,numpy,1.16.0,linux-64
conda-forge,numpy,1.16.0,linux-64
conda-forge,numpy,1.16.1,linux-64
conda-forge,numpy,1.16.1,linux-64
conda-forge,numpy,1.16.1,linux-64
conda-forge,numpy,1.16.2,linux-64
conda-forge,numpy,1.16.2,linux-64
conda-forge,numpy,1.16.2,linux-64
conda-forge,numpy,1.16.2,linux-64
conda-forge,numpy,1.16.2,linux-64
conda-forge,numpy,1.16.2,linux-64
conda-forge,numpy,1.16.2,linux-64
conda-forge,numpy,1.16.2,linux-64
conda-forge,numpy,1.16.2,linux-64
conda-forge,numpy,1.16.3,linux-64
conda-forge,numpy,1.16.3,linux-64
conda-forge,numpy,1.16.3,linux-64
conda-forge,numpy,1.16.4,linux-64
conda-forge,numpy,1.16.4,linux-64
conda-forge,numpy,1.16.4,linux-64
conda-forge,numpy,1.16.5,linux-64
conda-forge,numpy,1.16.5,linux-64
conda-forge,numpy,1.16.5,linux-64
conda-forge,numpy,1.16.5,linux-64
conda-forge,numpy,1.16.5,linux-64
conda-forge,numpy,1.16.5,linux-64
conda-forge,numpy,1.16.5,linux-64
conda-forge,numpy,1.16.6,linux-64
conda-forge,numpy,1.16.6,linux-64
conda-forge,numpy,1.16.6,linux-64
conda-forge,numpy,1.17.0,linux-64
conda-forge,numpy,1.17.0,linux-64
conda-forge,numpy,1.17.1,linux-64
